Samplename,Genome,Domain,StudyName,Phylum,Class,Order,Family,Genus,Species,Ecosystem,Ecosystem.Category,Ecosystem.Subtype,Ecosystem.Type,Environment,Genome_size_assembled,Gene_Count_assembled,Assimilatory Nitrite to ammonia,Dissimilatory Nitrite to Ammonia,Assimilatory Nitrate to Nitrite,Nitrogen Fixation,Dissimilatory Nitrate to Nitrite,Nitrification,Partial_Nitrification,Denitrification,Partial_NO,Partial_N2O,Partial_N2
endosymbiont of Acanthamoeba sp. UWC8,2585427663,Bacteria,endosymbiont of Acanthamoeba sp. UWC8 Genome sequencing,Alphaproteobacteria,Alphaproteobacteria,Holosporales,Holosporaceae,unclassified,endosymbiont of Acanthamoeba sp. UWC8,,,,,Uncategorized,1615277,1558,None,None,None,None,None,None,None,None,None,None,None
Enterobacteriaceae symbiont DEMHIR of Maconellicoccus hirsutus,2687453637,Bacteria,Genomic sequencing of Pseudococcus longispinus and its endosymbionts,Gammaproteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Candidatus Doolittlea,Candidatus Doolittlea endobia,,,,,Uncategorized,846562,713,None,None,None,None,None,None,None,None,None,None,None
Enterobacteriaceae symbiont GEFVIR of Ferrisia virgata,2687453369,Bacteria,Genomic sequencing of Pseudococcus longispinus and its endosymbionts,Gammaproteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Candidatus Gullanella,Candidatus Gullanella endobia,,,,,Uncategorized,938041,530,None,None,None,None,None,None,None,None,None,None,None
Enterobacteriaceae symbiont HETPER of Trionymus perrisii,2687453602,Bacteria,Genomic sequencing of Trionymus perrisii and its endosymbionts,Gammaproteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Candidatus Hoaglandella,Candidatus Hoaglandella endobia,,,,,Uncategorized,636713,582,None,None,None,None,None,None,None,None,None,None,None
Enterobacteriaceae symbiont MEPMAR of Paracoccus marginatus,2690315705,Bacteria,Genomic sequencing of Pseudococcus longispinus and its endosymbionts,Gammaproteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Candidatus Mikella,Candidatus Mikella endobia,,,,,Uncategorized,352837,332,None,None,None,None,None,None,None,None,None,None,None
Erwinia amylovora LA635,2687453518,Bacteria,Whole-Genome Sequencing of Erwinia amylovora Strains from Mexico - University of Bielefeld,Gammaproteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Erwinia,Erwinia amylovora,,,,,Uncategorized,3791024,3517,None,None,None,None,None,None,None,None,None,None,None
Erwinia amylovora LA636,2687453492,Bacteria,Whole-Genome Sequencing of Erwinia amylovora Strains from Mexico - University of Bielefeld,Gammaproteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Erwinia,Erwinia amylovora,,,,,Uncategorized,3789866,3515,None,None,None,None,None,None,None,None,None,None,None
Erwinia amylovora LA637,2687453515,Bacteria,Whole-Genome Sequencing of Erwinia amylovora Strains from Mexico - University of Bielefeld,Gammaproteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Erwinia,Erwinia amylovora,,,,,Uncategorized,3869546,3614,None,None,None,None,None,None,None,None,None,None,None
Erythrobacter gangjinensis JCM 15420,2721755453,Bacteria,Erythrobacter gangjinensis JCM 15420 genome sequencing,Alphaproteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Erythrobacter,Erythrobacter gangjinensis,,,,,Uncategorized,2724951,2696,None,None,None,None,None,None,None,None,None,None,None
Francisella noatunensis LADL--07-285A,2558309050,Bacteria,Francisella noatunensis subsp. orientalis LADL--07-285A Genome sequencing,Gammaproteobacteria,Gammaproteobacteria,Thiotrichales,Francisellaceae,Francisella,Francisella noatunensis,,,,,Uncategorized,1858987,1991,None,None,None,None,None,None,None,None,None,None,None
Francisella noatunensis orientalis FNO-12,2639763178,Bacteria,Nile tilapia pathogen Francisella strains,Gammaproteobacteria,Gammaproteobacteria,Thiotrichales,Francisellaceae,Francisella,Francisella noatunensis,,,,,Uncategorized,1859720,2228,None,None,None,None,None,None,None,None,None,None,None
Francisella noatunensis orientalis FNO01,2654587663,Bacteria,Francisella noatunensis orientalis FNO01,Gammaproteobacteria,Gammaproteobacteria,Thiotrichales,Francisellaceae,Francisella,Francisella noatunensis,,,,,Uncategorized,1859830,2228,None,None,None,None,None,None,None,None,None,None,None
Francisella philomiragia ATCC 25017D-5,2630968471,Bacteria,Tularemia genome project - LANL,Gammaproteobacteria,Gammaproteobacteria,Thiotrichales,Francisellaceae,Francisella,Francisella philomiragia,,,,,Uncategorized,1924061,1875,None,None,None,None,None,None,None,None,None,None,None
Francisella philomiragia GA01-2794,2627853646,Bacteria,Francisella philomiragia strain:GA01-2794 Genome sequencing,Gammaproteobacteria,Gammaproteobacteria,Thiotrichales,Francisellaceae,Francisella,Francisella philomiragia,,,,,Uncategorized,2152054,2099,None,None,None,None,None,None,None,None,None,None,None
Francisella philomiragia GA01-2801,2627853853,Bacteria,Francisella philomiragia strain:GA01-2801 Genome sequencing,Gammaproteobacteria,Gammaproteobacteria,Thiotrichales,Francisellaceae,Francisella,Francisella philomiragia,,,,,Uncategorized,2033714,2037,None,None,None,None,None,None,None,None,None,None,None
Francisella philomiragia O#319-029,2639763070,Bacteria,Francisella philomiragia strain:O#319-029 Genome sequencing,Gammaproteobacteria,Gammaproteobacteria,Thiotrichales,Francisellaceae,Francisella,Francisella philomiragia,,,,,Uncategorized,2044934,2027,None,None,None,None,None,None,None,None,None,None,None
Francisella philomiragia O#319-067,2627853655,Bacteria,Francisella philomiragia strain:O#319-067 Genome sequencing,Gammaproteobacteria,Gammaproteobacteria,Thiotrichales,Francisellaceae,Francisella,Francisella philomiragia,,,,,Uncategorized,2049711,2016,None,None,None,None,None,None,None,None,None,None,None
Francisella tularensis holarctica,2639763176,Bacteria,Francisella tularensis subsp. holarctica strain:425 Genome sequencing,Gammaproteobacteria,Gammaproteobacteria,Thiotrichales,Francisellaceae,Francisella,Francisella tularensis,,,,,Uncategorized,1894186,2150,None,None,None,None,None,None,None,None,None,None,None
Francisella tularensis holarctica FTT_1,2634166452,Bacteria,Francisella tularensis subsp. holarctica strain:FTT_1 Genome sequencing,Gammaproteobacteria,Gammaproteobacteria,Thiotrichales,Francisellaceae,Francisella,Francisella tularensis,,,,,Uncategorized,1892782,2154,None,None,None,None,None,None,None,None,None,None,None
Francisella tularensis holarctica OR96-0246,2648501871,Bacteria,Francisella tularensis subsp. holarctica strain:OR96-0246 genome sequencing,Gammaproteobacteria,Gammaproteobacteria,Thiotrichales,Francisellaceae,Francisella,Francisella tularensis,,,,,Uncategorized,1894154,2162,None,None,None,None,None,None,None,None,None,None,None
Francisella tularensis holarctica PHIT-FT049,2558860257,Bacteria,Francisella tularensis holarctica PHIT-FT049,Gammaproteobacteria,Gammaproteobacteria,Thiotrichales,Francisellaceae,Francisella,Francisella tularensis,,,,,Uncategorized,1881193,2002,None,None,None,None,None,None,None,None,None,None,None
Francisella tularensis holarctica VT68,2630968869,Bacteria,Francisella tularensis subsp. holarctica strain:VT68 Genome sequencing,Gammaproteobacteria,Gammaproteobacteria,Thiotrichales,Francisellaceae,Francisella,Francisella tularensis,,,,,Uncategorized,1893733,2157,None,None,None,None,None,None,None,None,None,None,None
Francisella tularensis novicida D9876,2630968696,Bacteria,Francisella tularensis subsp. novicida D9876 Genome sequencing,Gammaproteobacteria,Gammaproteobacteria,Thiotrichales,Francisellaceae,Francisella,Francisella tularensis,,,,,Uncategorized,1870206,1821,None,None,None,None,None,None,None,None,None,None,None
Francisella tularensis novicida DPG 3A-IS,2627853980,Bacteria,Tularemia genome project - LANL,Gammaproteobacteria,Gammaproteobacteria,Thiotrichales,Francisellaceae,Francisella,Francisella tularensis,,,,,Uncategorized,2047033,2013,None,None,None,None,None,None,None,None,None,None,None
Francisella tularensis novicida F6168,2636415510,Bacteria,Francisella tularensis subsp. novicida F6168 Genome sequencing,Gammaproteobacteria,Gammaproteobacteria,Thiotrichales,Francisellaceae,Francisella,Francisella tularensis,,,,,Uncategorized,1927240,1880,None,None,None,None,None,None,None,None,None,None,None
Francisella tularensis Schu4 F. tul Mut-127,2718217764,Bacteria,Francisella tularensis Genome sequencing,Gammaproteobacteria,Gammaproteobacteria,Thiotrichales,Francisellaceae,Francisella,Francisella tularensis,,,,,Uncategorized,1877932,2072,None,None,None,None,None,None,None,None,None,None,None
Francisella tularensis T01,2684623223,Bacteria,Francisella tularensis strain:T01 Genome sequencing and assembly,Gammaproteobacteria,Gammaproteobacteria,Thiotrichales,Francisellaceae,Francisella,Francisella tularensis,,,,,Uncategorized,1899676,2143,None,None,None,None,None,None,None,None,None,None,None
Francisella tularensis TIGB03,2512564026,Bacteria,Francisella tularensis TIGB03,Gammaproteobacteria,Gammaproteobacteria,Thiotrichales,Francisellaceae,Francisella,Francisella tularensis,,,,,Uncategorized,1968651,1850,None,None,None,None,None,None,None,None,None,None,None
Francisella tularensis tularensis FTT_10,2630968599,Bacteria,Francisella tularensis subsp. tularensis strain:FTT_10 Genome sequencing,Gammaproteobacteria,Gammaproteobacteria,Thiotrichales,Francisellaceae,Francisella,Francisella tularensis,,,,,Uncategorized,1862444,2062,None,None,None,None,None,None,None,None,None,None,None
Francisella tularensis tularensis NR-21734,2721755739,Bacteria,Genome Sequencing of 3 Select Agent-Exempt Strains of Francisella tularensis tularensis SCHU S4,Gammaproteobacteria,Gammaproteobacteria,Thiotrichales,Francisellaceae,Francisella,Francisella tularensis,,,,,Uncategorized,1890041,2083,None,None,None,None,None,None,None,None,None,None,None
Francisella tularensis tularensis NR-21736,2728369346,Bacteria,Genome Sequencing of 3 Select Agent-Exempt Strains of Francisella tularensis tularensis SCHU S4,Gammaproteobacteria,Gammaproteobacteria,Thiotrichales,Francisellaceae,Francisella,Francisella tularensis,,,,,Uncategorized,1890178,2081,None,None,None,None,None,None,None,None,None,None,None
Francisella tularensis tularensis NR-21737,2721755475,Bacteria,Genome Sequencing of 3 Select Agent-Exempt Strains of Francisella tularensis tularensis SCHU S4,Gammaproteobacteria,Gammaproteobacteria,Thiotrichales,Francisellaceae,Francisella,Francisella tularensis,,,,,Uncategorized,1889783,2080,None,None,None,None,None,None,None,None,None,None,None
Francisella tularensis tularensis Scherm,2636415947,Bacteria,Tularemia genome project - LANL,Gammaproteobacteria,Gammaproteobacteria,Thiotrichales,Francisellaceae,Francisella,Francisella tularensis,,,,,Uncategorized,1890922,2103,None,None,None,None,None,None,None,None,None,None,None
Francisella tularensis tularensis WY-00W4114,2636415840,Bacteria,Francisella tularensis tularensis WY-00W4114,Gammaproteobacteria,Gammaproteobacteria,Thiotrichales,Francisellaceae,Francisella,Francisella tularensis,,,,,Uncategorized,1899252,2085,None,None,None,None,None,None,None,None,None,None,None
Francisella tularensis tularensis WY96,2648501362,Bacteria,Francisella tularensis tularensis WY96 genome sequencing,Gammaproteobacteria,Gammaproteobacteria,Thiotrichales,Francisellaceae,Francisella,Francisella tularensis,,,,,Uncategorized,1898140,2087,None,None,None,None,None,None,None,None,None,None,None
Gluconobacter oxydans 621H,637000122,Bacteria,Gluconobacter oxydans 621H,Alphaproteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Gluconobacter,Gluconobacter oxydans,,,,,Uncategorized,2922384,2742,None,None,None,None,None,None,None,None,None,None,None
Halyomorpha halys symbiont,2576861443,Bacteria,Halyomorpha halys symbiont,Gammaproteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Pantoea,Candidatus Pantoea carbekii,,,,,Uncategorized,1151074,873,None,None,None,None,None,None,None,None,None,None,None
Halyomorpha halys symbiont US,2648501870,Bacteria,Halyomorpha halys symbiont strain:US Genome sequencing,Gammaproteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Pantoea,Candidatus Pantoea carbekii,,,,,Uncategorized,1196948,888,None,None,None,None,None,None,None,None,None,None,None
Helicobacter heilmannii ASB1.4,2648501112,Bacteria,Genome sequence of Helicobacter heilmannii ASB1.4 isolated from the gastric mucosa of a kitten with severe gastritis,Epsilonproteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter heilmannii,,,,,Uncategorized,1804601,1954,None,None,None,None,complete,None,None,None,None,None,None
Helicobacter pylori 26695-1,2648501200,Bacteria,Helicobacter pylori 26695-1 Genome sequencing,Epsilonproteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter pylori,,,,,Uncategorized,1667638,1615,None,None,None,None,None,None,None,None,None,None,None
Helicobacter pylori 26695-1MET,2627853905,Bacteria,Helicobacter pylori strain:26695-1MET Genome sequencing,Epsilonproteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter pylori,,,,,Uncategorized,1667303,1616,None,None,None,None,None,None,None,None,None,None,None
Helicobacter pylori 29CaP,2660238529,Bacteria,Comparative genomics of Helicobacter pylori strains,Epsilonproteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter pylori,,,,,Uncategorized,1667159,1649,None,None,None,None,None,None,None,None,None,None,None
Helicobacter pylori BM012A,2558309076,Bacteria,Helicobacter pylori BM012A,Epsilonproteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter pylori,,,,,Uncategorized,1660425,1623,None,None,None,None,None,None,None,None,None,None,None
Helicobacter pylori BM012B,2576861476,Bacteria,Helicobacter pylori sequencing project - Penn State University,Epsilonproteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter pylori,,,,,Uncategorized,1659060,1599,None,None,None,None,None,None,None,None,None,None,None
Helicobacter pylori BM012S,2558309088,Bacteria,Helicobacter pylori BM012S,Epsilonproteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter pylori,,,,,Uncategorized,1660469,1626,None,None,None,None,None,None,None,None,None,None,None
Helicobacter pylori BM013A,2574180055,Bacteria,Helicobacter pylori sequencing project - Penn State University,Epsilonproteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter pylori,,,,,Uncategorized,1604233,1525,None,None,None,None,None,None,None,None,None,None,None
Helicobacter pylori BM013B,2576861475,Bacteria,Helicobacter pylori sequencing project - Penn State University,Epsilonproteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter pylori,,,,,Uncategorized,1604212,1525,None,None,None,None,None,None,None,None,None,None,None
Helicobacter pylori Hp238,2630968812,Bacteria,Helicobacter pylori strain:Hp238 Genome sequencing,Epsilonproteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter pylori,,,,,Uncategorized,1586473,1572,None,None,None,None,None,None,None,None,None,None,None
Helicobacter pylori J166,2576861474,Bacteria,Helicobacter pylori sequencing project - Penn State University,Epsilonproteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter pylori,,,,,Uncategorized,1650561,1555,None,None,None,None,None,None,None,None,None,None,None
Helicobacter pylori ML1,2687453208,Bacteria,Genome sequences of three Helicobacter pylori strains from patients with mucosa-associated lymphoid tissue (MALT) lymphoma,Epsilonproteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter pylori,,,,,Uncategorized,1629815,1657,None,None,None,None,None,None,None,None,None,None,None
Helicobacter pylori ML2,2684623150,Bacteria,Genome sequences of three Helicobacter pylori strains from patients with mucosa-associated lymphoid tissue (MALT) lymphoma,Epsilonproteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter pylori,,,,,Uncategorized,1562125,1706,None,None,None,None,None,None,None,None,None,None,None
Helicobacter pylori ML3,2687453513,Bacteria,Genome sequences of three Helicobacter pylori strains from patients with mucosa-associated lymphoid tissue (MALT) lymphoma,Epsilonproteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter pylori,,,,,Uncategorized,1635334,1685,None,None,None,None,None,None,None,None,None,None,None
Helicobacter pylori OK113,2597489927,Bacteria,Complete genome sequence of Helicobacter pylori OK113,Epsilonproteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter pylori,,,,,Uncategorized,1616617,1574,None,None,None,None,None,None,None,None,None,None,None
Helicobacter pylori OK310,2597489929,Bacteria,Complete genome sequence of Helicobacter pylori OK310,Epsilonproteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter pylori,,,,,Uncategorized,1595436,1545,None,None,None,None,None,None,None,None,None,None,None
Helicobacter pylori Oki102,2576861464,Bacteria,Helicobacter pylori sequencing project - Okinawa Institute of Advanced Sciences,Epsilonproteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter pylori,,,,,Uncategorized,1633212,1610,None,None,None,None,None,None,None,None,None,None,None
Helicobacter pylori Oki112,2571042581,Bacteria,Helicobacter pylori sequencing project - Okinawa Institute of Advanced Sciences,Epsilonproteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter pylori,,,,,Uncategorized,1637925,1620,None,None,None,None,None,None,None,None,None,None,None
Helicobacter pylori Oki128,2571042475,Bacteria,Helicobacter pylori sequencing project - Okinawa Institute of Advanced Sciences,Epsilonproteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter pylori,,,,,Uncategorized,1553826,1534,None,None,None,None,None,None,None,None,None,None,None
Helicobacter pylori Oki154,2574179868,Bacteria,Helicobacter pylori sequencing project - Okinawa Institute of Advanced Sciences,Epsilonproteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter pylori,,,,,Uncategorized,1599700,1584,None,None,None,None,None,None,None,None,None,None,None
Helicobacter pylori Oki422,2576861466,Bacteria,Helicobacter pylori sequencing project - Okinawa Institute of Advanced Sciences,Epsilonproteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter pylori,,,,,Uncategorized,1634852,1620,None,None,None,None,None,None,None,None,None,None,None
Helicobacter pylori Oki673,2571042731,Bacteria,Helicobacter pylori sequencing project - Okinawa Institute of Advanced Sciences,Epsilonproteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter pylori,,,,,Uncategorized,1595058,1587,None,None,None,None,None,None,None,None,None,None,None
Helicobacter pylori Oki828,2576861467,Bacteria,Helicobacter pylori sequencing project - Okinawa Institute of Advanced Sciences,Epsilonproteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter pylori,,,,,Uncategorized,1600345,1590,None,None,None,None,None,None,None,None,None,None,None
Helicobacter pylori Oki898,2576861465,Bacteria,Helicobacter pylori sequencing project - Okinawa Institute of Advanced Sciences,Epsilonproteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter pylori,,,,,Uncategorized,1634875,1615,None,None,None,None,None,None,None,None,None,None,None
Helicobacter pylori SouthAfrica20,2554235464,Bacteria,Helicobacter pylori SouthAfrica20 Genome sequencing,Epsilonproteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter pylori,,,,,Uncategorized,1622903,1745,None,None,None,None,None,None,None,None,None,None,None
Ketogulonicigenium vulgare Hbe602,2675903356,Bacteria,Ketogulonicigenium vulgare Hbe602 genome sequencing and assembly,Alphaproteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Ketogulonicigenium,Ketogulonicigenium vulgare,,,,,Uncategorized,3276390,3221,None,None,None,None,None,None,None,None,None,None,None
Ketogulonicigenium vulgare WSH-001,2511231188,Bacteria,Ketogulonicigenium vulgare WSH-001,Alphaproteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Ketogulonicigenium,Ketogulonicigenium vulgare,,,,,Uncategorized,3277101,3125,None,None,None,None,None,None,None,None,None,None,None
Komagataeibacter xylinus E25,2558860240,Bacteria,Gluconacetobacter xylinus E25,Alphaproteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Komagataeibacter,Komagataeibacter xylinus,,,,,Uncategorized,3905082,3745,None,None,None,None,None,None,None,None,None,None,None
Labilithrix luteola DSM 27648,2645727571,Bacteria,Labilithrix luteola DSM 27648 genome sequencing,Deltaproteobacteria,Deltaproteobacteria,Myxococcales,Labilitrichaceae,Labilithrix,Labilithrix luteola,,,,,Uncategorized,12191466,10769,None,None,None,None,None,None,None,None,None,None,None
Legionella fallonii LLAP-10 ATCC700992,2645727891,Bacteria,Comparative analyses of Legionella species to identify genetic features of strains causing Legionnaires' disease,Gammaproteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,Legionella fallonii,,,,,Uncategorized,4181563,3557,None,None,None,None,None,None,None,None,None,None,None
Legionella fallonii LLAP-10 ATCC700992 null replaces 98192,2654588015,Bacteria,Comparative analyses of Legionella species to identify genetic features of strains causing Legionnaires' disease,Gammaproteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,Legionella fallonii,,,,,Uncategorized,4434890,3808,None,None,None,None,None,None,None,None,None,None,None
Legionella hackeliae ATCC35250,2648501287,Bacteria,Comparative analyses of Legionella species to identify genetic features of strains causing Legionnaires' disease,Gammaproteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,Legionella hackeliae,,,,,Uncategorized,3440975,3104,None,None,None,None,None,None,None,None,None,None,None
Legionella hackeliae ATCC35250 null replaces 98222,2654588001,Bacteria,Comparative analyses of Legionella species to identify genetic features of strains causing Legionnaires' disease,Gammaproteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,Legionella hackeliae,,,,,Uncategorized,3570857,3245,None,None,None,None,None,None,None,None,None,None,None
Lysobacter capsici 55,2684623111,Bacteria,Lysobacter genome sequencing,Gammaproteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter,Lysobacter capsici,,,,,Uncategorized,6391889,5266,None,None,None,None,None,None,None,None,None,None,None
Methylophilales bacterium MBRS-H7,2687453630,Bacteria,Comparative genomics of methylotrophic (OM43) Methylophilales bacteria from the Red Sea,Betaproteobacteria,Betaproteobacteria,Methylophilales,unclassified,unclassified,Methylophilales bacterium MBRS-H7,,,,,Uncategorized,1352885,1466,None,None,None,None,None,None,None,None,None,None,None
Methylophilales bacterium MBRSF5,2687453631,Bacteria,Comparative genomics of methylotrophic (OM43) Methylophilales bacteria from the Red Sea,Betaproteobacteria,Betaproteobacteria,Methylophilales,unclassified,unclassified,Methylophilales bacterium MBRSF5,,,,,Uncategorized,1352914,1466,None,None,None,None,None,None,None,None,None,None,None
Methylophilales bacterium MBRSG12,2687453564,Bacteria,Comparative genomics of methylotrophic (OM43) Methylophilales bacteria from the Red Sea,Betaproteobacteria,Betaproteobacteria,Methylophilales,unclassified,unclassified,Methylophilales bacterium MBRSG12,,,,,Uncategorized,1352831,1466,None,None,None,None,None,None,None,None,None,None,None
Micavibrio sp. EPB,2540341149,Bacteria,Micavibrio sp. EPB,Alphaproteobacteria,Alphaproteobacteria,unclassified,unclassified,Micavibrio,Micavibrio aeruginosavorus,,,,,Uncategorized,2458610,2412,None,None,None,None,complete,None,None,None,None,None,None
Moraxella ovis 199/55,2687453149,Bacteria,Moraxella ovis strain:199/55 Genome sequencing,Gammaproteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Moraxella,Moraxella ovis,,,,,Uncategorized,2306095,2266,None,None,None,None,complete,None,None,None,None,None,None
Neorickettsia helminthoeca Oregon,2576861436,Bacteria,Neorickettsia helminthoeca Oregon,Alphaproteobacteria,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Neorickettsia,Neorickettsia helminthoeca,,,,,Uncategorized,884232,910,None,None,None,None,None,None,None,None,None,None,None
Pajaroellobacter abortibovis BTF92-0548A 99-0131,2718217736,Bacteria,Pajaroellobacter abortibovis genome sequencing,Deltaproteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Pajaroellobacter,Pajaroellobacter abortibovis,,,,,Uncategorized,1821632,1807,None,None,None,None,None,None,None,None,None,None,None
Pantoea sp. PSNIH1,2630968876,Bacteria,Pantoea sp. PSNIH1 genome sequencing,Gammaproteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Pantoea,Pantoea sp. PSNIH1,,,,,Uncategorized,4410683,4397,None,None,None,None,None,None,None,None,None,None,None
Paracoccus aminophilus JCM 7686,2547132467,Bacteria,Paracoccus aminophilus JCM 7686 Genome sequencing,Alphaproteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus,Paracoccus aminophilus,,,,,Uncategorized,4917798,4642,None,None,None,None,None,None,None,None,None,None,None
Piscirickettsia salmonis CGR02,2687453224,Bacteria,Piscirickettsia salmonis CGR02 genome sequencing and assembly,Gammaproteobacteria,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,Piscirickettsia,Piscirickettsia salmonis,,,,,Uncategorized,3423535,3547,None,None,None,None,None,None,None,None,None,None,None
Piscirickettsia salmonis PM23019A,2718218236,Bacteria,Piscirickettsia salmonis Genome sequencing,Gammaproteobacteria,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,Piscirickettsia,Piscirickettsia salmonis,,,,,Uncategorized,3308199,3598,None,None,None,None,None,None,None,None,None,None,None
Piscirickettsia salmonis PM58386B,2721755552,Bacteria,Piscirickettsia salmonis Genome sequencing,Gammaproteobacteria,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,Piscirickettsia,Piscirickettsia salmonis,,,,,Uncategorized,3516383,3605,None,None,None,None,None,None,None,None,None,None,None
Piscirickettsia salmonis PSCGR01,2687453483,Bacteria,Piscirickettsia salmonis PSCGR01 Genome sequencing and assembly,Gammaproteobacteria,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,Piscirickettsia,Piscirickettsia salmonis,,,,,Uncategorized,3489744,3633,None,None,None,None,None,None,None,None,None,None,None
Pseudoalteromonas issachenkonii KCTC 12958,2684623115,Bacteria,Pseudoalteromonas issachenkonii KCTC 12958 genome sequencing,Gammaproteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas issachenkonii,,,,,Uncategorized,4131541,3790,None,None,None,None,None,None,None,None,None,None,None
Pseudoalteromonas luteoviolacea S40542,2718218238,Bacteria,Genome sequencing of Pseudoalteromonas luteoviolacea strains,Gammaproteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas luteoviolacea,,,,,Uncategorized,6221346,5318,None,None,None,None,None,None,None,None,None,None,None
Pseudoalteromonas luteoviolacea S4054249,2718218196,Bacteria,Genome sequencing of Pseudoalteromonas luteoviolacea strains,Gammaproteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas luteoviolacea,,,,,Uncategorized,6223983,5321,None,None,None,None,None,None,None,None,None,None,None
Pseudoalteromonas phenolica KCTC 12086,2684623173,Bacteria,Pseudoalteromonas phenolica KCTC 12086 genome sequencing,Gammaproteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas phenolica,,,,,Uncategorized,4868993,4362,None,None,None,None,None,None,None,None,None,None,None
